SRC,EPSG,Hemisferio
WGS84 / UTM zone 01N,32601,Norte
WGS84 / UTM zone 02N,32602,Norte
WGS84 / UTM zone 03N,32603,Norte
WGS84 / UTM zone 04N,32604,Norte
WGS84 / UTM zone 05N,32605,Norte
WGS84 / UTM zone 06N,32606,Norte
WGS84 / UTM zone 07N,32607,Norte
WGS84 / UTM zone 08N,32608,Norte
WGS84 / UTM zone 09N,32609,Norte
WGS84 / UTM zone 10N,32610,Norte
WGS84 / UTM zone 11N,32611,Norte
WGS84 / UTM zone 12N,32612,Norte
WGS84 / UTM zone 13N,32613,Norte
WGS84 / UTM zone 14N,32614,Norte
WGS84 / UTM zone 15N,32615,Norte
WGS84 / UTM zone 16N,32616,Norte
WGS84 / UTM zone 17N,32617,Norte
WGS84 / UTM zone 18N,32618,Norte
WGS84 / UTM zone 19N,32619,Norte
WGS84 / UTM zone20N,32620,Norte
WGS84 / UTM zone 21N,32621,Norte
WGS84 / UTM zone 22N,32622,Norte
WGS84 / UTM zone 23N,32623,Norte
WGS84 / UTM zone 24N,32624,Norte
WGS84 / UTM zone 25N,32625,Norte
WGS84 / UTM zone 26N,32626,Norte
WGS84 / UTM zone 27N,32627,Norte
WGS84 / UTM zone 28N,32628,Norte
WGS84 / UTM zone 29N,32629,Norte
WGS84 / UTM zone 30N,32630,Norte
WGS84 / UTM zone 31N,32631,Norte
WGS84 / UTM zone 32N,32632,Norte
WGS84 / UTM zone 33N,32633,Norte
WGS84 / UTM zone 34N,32634,Norte
WGS84 / UTM zone 35N,32635,Norte
WGS84 / UTM zone 36N,32636,Norte
WGS84 / UTM zone 37N,32637,Norte
WGS84 / UTM zone 38N,32638,Norte
WGS84 / UTM zone 39N,32639,Norte
WGS84 / UTM zone 40N,32640,Norte
WGS84 / UTM zone 41N,32641,Norte
WGS84 / UTM zone 42N,32642,Norte
WGS84 / UTM zone 43N,32643,Norte
WGS84 / UTM zone 44N,32644,Norte
WGS84 / UTM zone 45N,32645,Norte
WGS84 / UTM zone 46N,32646,Norte
WGS84 / UTM zone 47N,32647,Norte
WGS84 / UTM zone 48N,32648,Norte
WGS84 / UTM zone 49N,32649,Norte
WGS84 / UTM zone 50N,32650,Norte
WGS84 / UTM zone 51N,32651,Norte
WGS84 / UTM zone 52N,32652,Norte
WGS84 / UTM zone 53N,32653,Norte
WGS84 / UTM zone 54N,32654,Norte
WGS84 / UTM zone 55N,32655,Norte
WGS84 / UTM zone 56N,32656,Norte
WGS84 / UTM zone 57N,32657,Norte
WGS84 / UTM zone 58N,32658,Norte
WGS84 / UTM zone 59N,32659,Norte
WGS84 / UTM zone 60N,32660,Norte
WGS84 / UTM zone 01S,32701,Sur
WGS84 / UTM zone 02S,32702,Sur
WGS84 / UTM zone 03S,32703,Sur
WGS84 / UTM zone 04S,32704,Sur
WGS84 / UTM zone 05S,32705,Sur
WGS84 / UTM zone 06S,32706,Sur
WGS84 / UTM zone 07S,32707,Sur
WGS84 / UTM zone 08S,32708,Sur
WGS84 / UTM zone 09S,32709,Sur
WGS84 / UTM zone 10S,32710,Sur
WGS84 / UTM zone 11S,32711,Sur
WGS84 / UTM zone 12S,32712,Sur
WGS84 / UTM zone 13S,32713,Sur
WGS84 / UTM zone 14S,32714,Sur
WGS84 / UTM zone 15S,32715,Sur
WGS84 / UTM zone 16S,32716,Sur
WGS84 / UTM zone 17S,32717,Sur
WGS84 / UTM zone 18S,32718,Sur
WGS84 / UTM zone 19S,32719,Sur
WGS84 / UTM zone 20S,32720,Sur
WGS84 / UTM zone 21S,32721,Sur
WGS84 / UTM zone 22S,32722,Sur
WGS84 / UTM zone 23S,32723,Sur
WGS84 / UTM zone 24S,32724,Sur
WGS84 / UTM zone 25S,32725,Sur
WGS84 / UTM zone 26S,32726,Sur
WGS84 / UTM zone 27S,32727,Sur
WGS84 / UTM zone 28S,32728,Sur
WGS84 / UTM zone 29S,32729,Sur
WGS84 / UTM zone 30S,32730,Sur
WGS84 / UTM zone 31S,32731,Sur
WGS84 / UTM zone 32S,32732,Sur
WGS84 / UTM zone 33S,32733,Sur
WGS84 / UTM zone 34S,32734,Sur
WGS84 / UTM zone 35S,32735,Sur
WGS84 / UTM zone 36S,32736,Sur
WGS84 / UTM zone 37S,32737,Sur
WGS84 / UTM zone 38S,32738,Sur
WGS84 / UTM zone 39S,32739,Sur
WGS84 / UTM zone 40S,32740,Sur
WGS84 / UTM zone 41S,32741,Sur
WGS84 / UTM zone 42S,32742,Sur
WGS84 / UTM zone 43S,32743,Sur
WGS84 / UTM zone 44S,32744,Sur
WGS84 / UTM zone 45S,32745,Sur
WGS84 / UTM zone 46S,32746,Sur
WGS84 / UTM zone 47S,32747,Sur
WGS84 / UTM zone 48S,32748,Sur
WGS84 / UTM zone 49S,32749,Sur
WGS84 / UTM zone 50S,32750,Sur
WGS84 / UTM zone 51S,32751,Sur
WGS84 / UTM zone 52S,32752,Sur
WGS84 / UTM zone 53S,32753,Sur
WGS84 / UTM zone 54S,32754,Sur
WGS84 / UTM zone 55S,32755,Sur
WGS84 / UTM zone 56S,32756,Sur
WGS84 / UTM zone 57S,32757,Sur
WGS84 / UTM zone 58S,32758,Sur
WGS84 / UTM zone 59S,32759,Sur
WGS84 / UTM zone 60S,32760,Sur
